code,Stage,CharityTreat,Charity,Donation,Happiness,Student,RiskAversion,GeneralTrust,sex,birth,race,relig,single,uni stdnt,studies,prev par,exp pref,momjob,dadjob,momeduc,dadeduc,siblings,siborder,child,numchild,risk,trust,BirthData,Religion,MaritalStatus,PreviousExperiment,OccupationMother,OccupationFather,EducationMother,EducationFather,Siblings,SiblingsOlder,Children,ChildrenNumber,BornUK,BornCountry,YearsInUK,LanguageEnglishFirst,LanguageEnglishFluent,LanguageMainChildhood,LanguageOther,LivedOutsideUK,PersonalityExtroverted,PersonalityCritical,PersonalityDependable,PersonalityAnxious,PersonalityOpen,PersonalityReserved,PersonalitySympathetic,PersonalityCareless,PersonalityCalm,Personalityconventional,StartDate,EndDate
fz3ckd,1,NA,Oxfam,0,NA,1,NA,NA,Male,21/12/1995,Mixed,Atheist,Single,Yes,BA Drama and Literature,No,I'm open to both Online and In-Lab Experiments,Other,"Construction, Extraction, and maintenance",Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,7,7,No,NA,8,Depends,21/12/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T13:15:37Z,2017-06-15T13:25:19Z
ixbfx9,1,NA,NA,NA,Moderately happy,1,NA,NA,Female,14/09/1989,White,Atheist,Single,No,NA,No,I'm open to both Online and In-Lab Experiments,Sales and Office,"Management, Professional, and related","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Post-graduate Degree (MA, MSc etc.)",1,1,No,NA,7,Can't be too careful,14/09/1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T09:18:56Z,2017-06-15T13:42:22Z
cz1q8s,1,NA,BHF,10,NA,1,NA,NA,Female,24/01/1977,White,Atheist,Married,No,NA,Yes,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related","Management, Professional, and related","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Post-graduate Degree (MA, MSc etc.)",1,0,Yes,2,8,Most people can be trusted,24/01/1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T13:24:13Z,2017-06-15T13:46:41Z
5ndxle,1,NA,BHF,2,NA,1,NA,NA,Female,22/09/1996,Other,Muslim,Single,Yes,Modern History and Politics,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,Other,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,4,0,No,NA,8,Can't be too careful,22/09/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T13:32:46Z,2017-06-15T13:47:18Z
f0e5md,1,NA,Oxfam,0,Moderately happy,1,NA,NA,Female,20/09/1996,Black Caribbean,Christian,Single,Yes,Psychology,No,I'm open to both Online and In-Lab Experiments,Other,Other,"Undergraduate Degree (BA, BSc etc.)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",1,1,No,NA,8,Can't be too careful,20/09/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T12:02:55Z,2017-06-15T13:51:08Z
4ocbrt,1,NA,NA,NA,Moderately happy,1,NA,NA,Female,02/05/1994,Eastern Asian/Pacific Islander,Muslim,Single,Yes,Accounting,Yes,I'm open to both Online and In-Lab Experiments,Government,"Farming, Fishing, and Forestry","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Post-graduate Degree (MA, MSc etc.)",6,4,No,NA,Risk Neutral,Depends,02/05/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T12:50:41Z,2017-06-15T14:03:27Z
ujnj44,1,NA,Oxfam,1,NA,1,NA,NA,Female,11/04/1987,White,Christian,Married,No,NA,No,I'm open to both Online and In-Lab Experiments,Other,"Construction, Extraction, and maintenance",Secondary Education (GCSE/O-Levels) or below,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",1,0,Yes,2,2,Can't be too careful,11/04/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T14:22:46Z,2017-06-15T14:30:24Z
8wa182,1,NA,BHF,3,NA,1,NA,NA,Female,27/11/1996,White,Agnostic,Single,Yes,Criminology with Social psychology,Yes,I'm open to both Online and In-Lab Experiments,Unemployed,"Management, Professional, and related",Secondary Education (GCSE/O-Levels) or below,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",2,0,No,NA,7,Most people can be trusted,27/11/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T14:11:25Z,2017-06-15T14:31:36Z
hzeuun,1,NA,NA,NA,Neither happy nor unhappy,1,NA,NA,Female,21/07/1966,White,Christian,Married,No,NA,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,"Management, Professional, and related",Secondary Education (GCSE/O-Levels) or below,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",0,NA,Yes,1,Risk Neutral,Most people can be trusted,21/07/1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T14:25:10Z,2017-06-15T14:33:23Z
25j3s6,1,NA,Oxfam,0,Extremely happy,1,NA,NA,Male,12/03/1994,Eastern Asian/Pacific Islander,Buddhist,Single,Yes,Accounting and Finance,No,I'm open to both Online and In-Lab Experiments,Unemployed,"Production, Transportation, and Material Moving","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",1,0,No,NA,8,Depends,12/03/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T14:07:29Z,2017-06-15T14:37:10Z
